Code,Release Date,Title,,Domestic Gross,,Runtime,Genre,,,,,,,,,,,
5931,13-May-11,Everything Must Go,,2700000,,97,Comedy,,,,,,,,,,,
5945,13-Jun-14,Life's a Breeze,,3500,,83,Comedy,,,,,,,,,,,
6036,20-Dec-10,"Happy, Happy",,45200,,85,Comedy,,,,,,,,,,,
6121,23-Feb-12,The Fairy,,38400,,93,Comedy,,,,,,,,,,,
6149,15-Nov-13,The Best Man Holiday,,70500000,,123,Comedy,,,,,,,,,,,
6264,31-Oct-14,St. Vincent,,44100000,,102,Comedy,,,,,,,,,,,
6348,17-Jan-13,May in the Summer,,22000,,99,Comedy,,,,,,,,,,,
6381,17-Oct-14,Listen Up Philip,,200000,,108,Comedy,,,,,,,,,,,
6463,25-Dec-16,Toni Erdmann,,1500000,,162,Comedy,,,,,,,,,,,
6471,11-Mar-17,Lady Bird,,49000000,,94,Comedy,,,,,,,,,,,
5854,12-Sep-16,La La Land,,151100000,,128,Comedy,,,,,,,,,,,
5905,12-Apr-15,Youth,,2700000,,124,Comedy,,,,,,,,,,,
5916,13-Mar-10,Cold Weather,,141000,,96,Comedy,,,,,,,,,,,
6431,10-Sep-15,Men & Chicken,,30200,,104,Comedy,,,,,,,,,,,
5800,7-Sep-10,The Kids Are All Right,,20800000,,106,Comedy,,,,,,,,,,,
5884,18-Jun-10,Cyrus,,7500000,,91,Comedy,,,,,,,,,,,
6046,30-Jun-10,I Hate Luv Storys,,848000,,129,Comedy,,,,,,,,,,,
6052,24-Jul-15,Samba,,152000,,118,Comedy,,,,,,,,,,,
6076,28-Dec-16,Paterson,,2200000,,118,Comedy,,,,,,,,,,,
6120,9-Nov-15,Sleeping with Other People,,819000,,101,Comedy,,,,,,,,,,,
6271,27-Sep-13,Don Jon,,24500000,,90,Comedy,,,,,,,,,,,
6280,17-Oct-14,Dear White People,,4400000,,108,Comedy,,,,,,,,,,,
6377,18-Jan-14,Appropriate Behavior,,46900,,86,Comedy,,,,,,,,,,,
6094,21-Dec-12,This Is 40,,67500000,,134,Comedy,,,,,,,,,,,
6512,20-Apr-18,I Feel Pretty,,48800000,,110,Comedy,,,,,,,,,,,
6419,24-May-12,Split,,138300000,,,Crime,,,,,,,,,,,
6033,10-Aug-10,Inside Job,,4300000,,109,Crime,,,,,,,,,,,
6031,23-Nov-11,Rampart,,973000,,108,Crime,,,,,,,,,,,
6044,11-Nov-11,Polisse,,211000,,127,Crime,,,,,,,,,,,
6407,14-Sep-18,Museo,,149000,,128,Crime,,,,,,,,,,,
6040,9-Aug-11,The Tall Man,,,,106,Crime,,,,,,,,,,,
6477,8-Apr-17,Wind River,,33800000,,107,Crime,,,,,,,,,,,
5785,21-Feb-14,In Secret,,444000,,107,Crime,,,,,,,,,,,
5796,17-Sep-10,The Town,,92200000,,125,Crime,,,,,,,,,,,
